,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,6,4,2,2.0,0.06828703703703702,0.4090909090909091,0.6428571428571429,0.1,0.35714285714285715
node_1,1,1,1,0,7,5,2,2.5,0.059027777777777776,0.42857142857142855,0.6923076923076923,0.1,0.35
node_2,1,1,0,1,8,2,6,0.3333333333333333,0.12037037037037035,0.75,0.5,0.1,0.28846153846153844
node_3,1,1,0,1,7,2,5,0.4,0.10648148148148147,0.6923076923076923,0.5,0.1,0.2631578947368421
node_4,1,0,1,1,8,2,6,0.3333333333333333,0.034722222222222224,0.75,0.391304347826087,0.1,0.35714285714285715
node_5,1,1,1,1,8,5,3,1.6666666666666667,0.2094907407407407,0.6,0.6428571428571429,0.1,0.2692307692307692
node_6,1,1,0,1,7,4,3,1.3333333333333333,0.12962962962962962,0.5625,0.6,0.1,0.35
node_7,1,1,1,0,7,4,3,1.3333333333333333,0.11805555555555555,0.6,0.5294117647058824,0.1,0.3333333333333333
node_8,1,1,1,1,7,4,3,1.3333333333333333,0.15046296296296297,0.5294117647058824,0.6428571428571429,0.1,0.3
node_9,1,1,1,0,5,3,2,1.5,0.003472222222222222,0.47368421052631576,0.5625,0.1,0.4444444444444444
