,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06312660724734043,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.04695777022543861,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1728681552533042,0.5
node_3,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06312660724734043,0.5
node_4,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.1022443895403183,0.5
node_5,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1645744243592326,0.5
node_6,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06312660724734043,0.5
node_7,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16562806094192586,0.5
node_8,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.09522077069041905,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.06312660724734043,0.0
