,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,4,2,2,1.0,0.1388888888888889,0.375,0.42857142857142855,0.1,0.25
node_1,1,1,1,1,6,3,3,1.0,0.34953703703703703,0.47368421052631576,0.5294117647058824,0.1,0.2857142857142857
node_2,1,0,1,1,6,1,5,0.2,0.16898148148148145,0.5625,0.3,0.1,0.2
node_3,1,0,1,1,4,1,3,0.3333333333333333,0.3194444444444444,0.5294117647058824,0.375,0.1,0.25
node_4,1,0,1,1,2,1,1,1.0,0.0,0.28125,0.3103448275862069,0.1,0.5
node_5,1,1,0,1,7,3,4,0.75,0.5555555555555556,0.6,0.5,0.1,0.1
node_6,0,0,1,1,2,1,1,1.0,0.02546296296296296,0.42857142857142855,0.25,0.1,0.0
node_7,1,1,1,1,6,5,1,5.0,0.16435185185185186,0.3333333333333333,0.6428571428571429,0.1,0.25
node_8,0,1,0,1,3,2,1,2.0,0.06944444444444445,0.391304347826087,0.45,0.1,0.0
node_9,1,0,1,1,4,3,1,3.0,0.08333333333333333,0.2903225806451613,0.5625,0.1,0.3333333333333333
