,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1264372285834246,0.5
node_1,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05429956381463928,0.5
node_2,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.18876497591135807,0.5
node_3,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.07465667816211967,0.5
node_4,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05429956381463928,0.5
node_5,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14355461558214838,0.5
node_6,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.13805236839555915,0.5
node_7,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05429956381463928,0.5
node_8,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.11133587810683324,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.05429956381463928,0.0
