,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.04970202940805239,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,-0.015666851927387322,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14400157652580756,0.5
node_3,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.07104648302570177,0.5
node_4,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.04970202940805239,0.5
node_5,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.13099425565827727,0.5
node_6,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.08356187772081773,0.5
node_7,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.38725454136457355,0.5
node_8,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.04970202940805239,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.04970202940805239,0.0
