,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,7,3,4,0.75,0.0636574074074074,0.5625,0.5294117647058824,0.1,0.30952380952380953
node_1,1,0,1,1,7,4,3,1.3333333333333333,0.10416666666666666,0.5625,0.6428571428571429,0.1,0.3333333333333333
node_2,1,0,1,1,6,4,2,2.0,0.07523148148148147,0.47368421052631576,0.6428571428571429,0.1,0.3333333333333333
node_3,1,1,0,1,7,3,4,0.75,0.2048611111111111,0.6428571428571429,0.5625,0.1,0.2
node_4,1,1,0,1,7,2,5,0.4,0.13310185185185183,0.6923076923076923,0.47368421052631576,0.1,0.25
node_5,1,1,0,1,7,2,5,0.4,0.06944444444444445,0.6428571428571429,0.45,0.1,0.275
node_6,1,0,1,1,5,3,2,1.5,0.125,0.5294117647058824,0.6,0.1,0.35
node_7,1,0,1,1,7,4,3,1.3333333333333333,0.08333333333333331,0.5625,0.6,0.1,0.30952380952380953
node_8,1,0,1,1,4,3,1,3.0,0.05324074074074074,0.42857142857142855,0.5294117647058824,0.1,0.4166666666666667
node_9,1,1,1,1,5,3,2,1.5,0.10185185185185183,0.5294117647058824,0.5625,0.1,0.2777777777777778
