,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,9,3,6,0.5,0.13773148148148145,0.75,0.5294117647058824,0.1,0.2727272727272727
node_1,1,1,0,1,5,3,2,1.5,0.03125,0.5294117647058824,0.5,0.1,0.3333333333333333
node_2,1,0,0,1,5,4,1,4.0,0.0625,0.45,0.6,0.1,0.55
node_3,1,1,1,1,7,3,4,0.75,0.23032407407407404,0.6428571428571429,0.5625,0.1,0.3
node_4,1,1,1,1,7,4,3,1.3333333333333333,0.1261574074074074,0.5294117647058824,0.6,0.1,0.375
node_5,1,0,1,1,4,3,1,3.0,0.06944444444444445,0.42857142857142855,0.6,0.1,0.5
node_6,1,0,1,1,3,2,1,2.0,0.0,0.391304347826087,0.5,0.1,0.3333333333333333
node_7,1,1,1,0,9,4,5,0.8,0.15625,0.6428571428571429,0.6428571428571429,0.1,0.38235294117647056
node_8,1,0,1,1,8,3,5,0.6,0.24652777777777776,0.6923076923076923,0.5294117647058824,0.1,0.23214285714285715
node_9,1,0,0,1,3,1,2,0.5,0.023148148148148143,0.5294117647058824,0.391304347826087,0.1,0.3333333333333333
