,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,9,5,4,1.25,0.23379629629629628,0.6428571428571429,0.6464646464646464,0.1,0.25757575757575757
node_1,1,1,0,1,7,2,5,0.4,0.1111111111111111,0.6923076923076923,0.4183006535947712,0.1,0.325
node_2,1,1,0,1,7,3,4,0.75,0.13657407407407404,0.6428571428571429,0.5079365079365079,0.1,0.3157894736842105
node_3,1,0,0,1,2,2,0,,0.0,0.0,0.47368421052631576,0.1,1.0
node_4,1,0,0,1,4,2,2,1.0,0.05324074074074074,0.5,0.47407407407407404,0.1,0.25
node_5,1,1,0,1,8,3,5,0.6,0.19212962962962962,0.6923076923076923,0.47407407407407404,0.1,0.17307692307692307
node_6,1,0,0,1,5,3,2,1.5,0.125,0.5294117647058824,0.5470085470085471,0.1,0.4
node_7,1,1,0,1,4,3,1,3.0,0.0162037037037037,0.42857142857142855,0.5079365079365079,0.1,0.2
node_8,1,0,0,1,4,3,1,3.0,0.013888888888888888,0.391304347826087,0.5079365079365079,0.1,0.25
node_9,1,1,0,1,6,2,4,0.5,0.048611111111111105,0.6,0.4444444444444444,0.1,0.32142857142857145
