,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,4,1,3,0.3333333333333333,0.034722222222222224,0.6,0.36,0.1,0.2
node_1,1,1,0,1,3,2,1,2.0,0.0,0.391304347826087,0.42857142857142855,0.1,0.5
node_2,1,1,1,1,7,3,4,0.75,0.23478835978835977,0.5625,0.5294117647058824,0.1,0.25
node_3,1,0,1,1,4,3,1,3.0,0.031746031746031744,0.42857142857142855,0.5294117647058824,0.1,0.4166666666666667
node_4,1,1,0,0,7,3,4,0.75,0.199239417989418,0.6,0.5625,0.1,0.2631578947368421
node_5,1,0,1,1,6,3,3,1.0,0.1165674603174603,0.6,0.5294117647058824,0.1,0.3333333333333333
node_6,1,1,1,1,9,5,4,1.25,0.4575066137566136,0.6428571428571429,0.6923076923076923,0.1,0.25
node_7,1,1,1,1,5,2,3,0.6666666666666666,0.0777116402116402,0.5,0.5,0.1,0.4444444444444444
node_8,1,0,1,1,5,2,3,0.6666666666666666,0.0636574074074074,0.42857142857142855,0.5294117647058824,0.1,0.25
node_9,1,0,1,1,4,3,1,3.0,0.02017195767195767,0.42857142857142855,0.5,0.1,0.5
