,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,7,4,3,1.3333333333333333,0.10277777777777777,0.6,0.5294117647058824,0.1,0.47368421052631576
node_1,1,1,0,1,6,2,4,0.5,0.037037037037037035,0.5294117647058824,0.42857142857142855,0.1,0.5769230769230769
node_2,1,1,0,1,8,5,3,1.6666666666666667,0.34074074074074073,0.5625,0.6923076923076923,0.1,0.2222222222222222
node_3,1,1,1,0,9,4,5,0.8,0.1962962962962963,0.6923076923076923,0.6,0.1,0.3484848484848485
node_4,1,0,1,1,6,3,3,1.0,0.21064814814814814,0.5294117647058824,0.5294117647058824,0.1,0.36666666666666664
node_5,1,0,0,1,3,1,2,0.5,0.020833333333333332,0.47368421052631576,0.45,0.1,0.5
node_6,1,1,0,1,6,3,3,1.0,0.08287037037037037,0.5294117647058824,0.5625,0.1,0.32142857142857145
node_7,1,1,1,1,6,3,3,1.0,0.023148148148148143,0.5,0.5294117647058824,0.1,0.5
node_8,1,1,1,1,6,4,2,2.0,0.08055555555555555,0.42857142857142855,0.6,0.1,0.25
node_9,1,1,0,0,3,1,2,0.5,0.043981481481481476,0.47368421052631576,0.42857142857142855,0.1,0.5
