,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06319068244191858,0.5
node_1,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1646176236251644,0.5
node_2,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.10317418722389843,0.5
node_3,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06319068244191858,0.5
node_4,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.17337664478455558,0.5
node_5,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.04478227632978389,0.5
node_6,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.09552088920172706,0.5
node_7,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16576564906719668,0.5
node_8,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06319068244191858,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.06319068244191858,0.0
