,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,6,2,4,0.5,0.40277777777777773,0.5625,0.4183006535947712,0.1,0.25
node_1,1,0,1,1,4,4,0,,0.0,0.0,0.6,0.1,0.25
node_2,1,0,1,1,4,1,3,0.3333333333333333,0.006944444444444444,0.375,0.30917874396135264,0.1,0.5
node_3,1,1,1,1,7,5,2,2.5,0.059027777777777776,0.34615384615384615,0.6464646464646464,0.1,0.3
node_4,1,1,1,1,8,5,3,1.6666666666666667,0.2708333333333333,0.45,0.5925925925925926,0.1,0.32
node_5,1,0,1,1,6,2,4,0.5,0.10185185185185185,0.42857142857142855,0.28444444444444444,0.1,0.3333333333333333
node_6,1,1,0,1,5,2,3,0.6666666666666666,0.26851851851851855,0.45,0.3232323232323232,0.1,0.16666666666666666
node_7,1,1,0,1,4,1,3,0.3333333333333333,0.03125,0.5294117647058824,0.24521072796934865,0.1,0.3
node_8,0,0,0,1,2,1,1,1.0,0.2361111111111111,0.36,0.3386243386243386,0.1,0.0
node_9,1,1,1,1,6,3,3,1.0,0.12268518518518519,0.45,0.5079365079365079,0.1,0.42857142857142855
