,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,4,2,2,1.0,0.02754629629629629,0.47368421052631576,0.5,0.1,0.3
node_1,1,1,1,1,6,4,2,2.0,0.05648148148148147,0.42857142857142855,0.6,0.1,0.21428571428571427
node_2,1,1,0,1,9,6,3,2.0,0.20393518518518516,0.5294117647058824,0.75,0.1,0.3333333333333333
node_3,1,1,0,1,8,4,4,1.0,0.1863425925925926,0.6428571428571429,0.6,0.1,0.25
node_4,1,1,1,0,7,5,2,2.5,0.04722222222222222,0.5,0.6923076923076923,0.1,0.39473684210526316
node_5,1,1,0,1,8,4,4,1.0,0.1310185185185185,0.6428571428571429,0.6,0.1,0.3888888888888889
node_6,1,1,1,1,5,3,2,1.5,0.04421296296296296,0.5,0.5,0.1,0.5
node_7,1,0,1,1,6,3,3,1.0,0.045601851851851845,0.5294117647058824,0.5294117647058824,0.1,0.3
node_8,1,1,0,0,9,2,7,0.2857142857142857,0.10671296296296295,0.8181818181818182,0.5,0.1,0.4142857142857143
node_9,1,1,0,1,8,2,6,0.3333333333333333,0.13703703703703704,0.75,0.45,0.1,0.3269230769230769
