,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06584714695041687,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.13141716115677413,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16795180034346607,0.5
node_3,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1743883638806011,0.5
node_4,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.08850448617683956,0.5
node_5,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06584714695041687,0.5
node_6,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06584714695041687,0.5
node_7,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,-0.015663078116530026,0.5
node_8,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.19001267875718192,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.06584714695041687,0.0
