,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,4,4,0,,0.0,0.0,0.5625,0.1,0.25
node_1,0,0,1,1,3,1,2,0.5,0.048611111111111105,0.42857142857142855,0.22685185185185186,0.1,0.16666666666666666
node_2,1,0,1,1,4,1,3,0.3333333333333333,0.125,0.47368421052631576,0.28654970760233917,0.1,0.16666666666666666
node_3,1,0,1,1,4,3,1,3.0,0.125,0.36,0.4537037037037037,0.1,0.08333333333333333
node_4,1,1,0,0,6,3,3,1.0,0.16666666666666666,0.5,0.4188034188034188,0.1,0.3333333333333333
node_5,0,1,0,1,4,2,2,1.0,0.08564814814814815,0.375,0.3888888888888889,0.1,0.0
node_6,1,1,0,1,6,3,3,1.0,0.2037037037037037,0.47368421052631576,0.4537037037037037,0.1,0.38461538461538464
node_7,1,1,0,1,7,2,5,0.4,0.2824074074074074,0.6428571428571429,0.362962962962963,0.1,0.2894736842105263
node_8,1,0,0,1,4,2,2,1.0,0.19907407407407404,0.42857142857142855,0.3888888888888889,0.1,0.16666666666666666
node_9,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.30917874396135264,0.1,0.5
