,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,7,1,6,0.16666666666666666,0.21296296296296297,0.75,0.34615384615384615,0.1,0.2
node_1,1,1,0,1,4,3,1,3.0,0.21296296296296294,0.45,0.5,0.1,0.3
node_2,1,1,0,1,7,4,3,1.3333333333333333,0.24305555555555555,0.47368421052631576,0.5,0.1,0.15789473684210525
node_3,1,1,0,1,6,3,3,1.0,0.1550925925925926,0.47368421052631576,0.5,0.1,0.23076923076923078
node_4,1,1,0,1,6,2,4,0.5,0.16666666666666663,0.5625,0.45,0.1,0.11538461538461539
node_5,1,1,0,1,5,3,2,1.5,0.23842592592592593,0.47368421052631576,0.5625,0.1,0.05555555555555555
node_6,1,1,0,0,5,2,3,0.6666666666666666,0.1388888888888889,0.47368421052631576,0.391304347826087,0.1,0.2777777777777778
node_7,1,1,0,1,5,4,1,4.0,0.08333333333333333,0.3333333333333333,0.5294117647058824,0.1,0.16666666666666666
node_8,1,0,0,1,4,2,2,1.0,0.04861111111111111,0.45,0.42857142857142855,0.1,0.4166666666666667
node_9,1,1,0,0,3,2,1,2.0,0.0,0.3333333333333333,0.42857142857142855,0.1,0.5
