,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.06799576437327784,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.07925083679263027,0
node_2,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547002584822702,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1235634667807435,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.14371990620512154,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.15336091421015652,0
node_6,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.12886525859727316,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.039173009771695785,0
node_8,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547002584822702,0
node_9,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.09313079157264768,0
