,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.2648146844590108,0
node_1,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547009560580145,0
node_2,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,-0.3005058037734227,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,-0.17269635362602634,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.6229173773346369,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.18498448020304262,0
node_6,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547009560580145,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10205246105789058,0
node_8,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,-0.14078117901245923,0
node_9,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.2682741421457248,0
