,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,10,5,5,1.0,0.3217592592592592,0.6428571428571429,0.5470085470085471,0.1,0.2441860465116279
node_1,1,0,1,1,5,1,4,0.25,0.027777777777777776,0.6,0.30917874396135264,0.1,0.3
node_2,1,1,1,1,5,2,3,0.6666666666666666,0.04629629629629629,0.47368421052631576,0.3742690058479532,0.1,0.2222222222222222
node_3,1,0,1,1,5,2,3,0.6666666666666666,0.04629629629629629,0.4090909090909091,0.4183006535947712,0.1,0.25
node_4,1,0,1,1,5,4,1,4.0,0.24305555555555555,0.4090909090909091,0.5925925925925926,0.1,0.25
node_5,1,0,1,1,3,2,1,2.0,0.013888888888888888,0.3333333333333333,0.3742690058479532,0.1,0.16666666666666666
node_6,1,1,0,1,6,3,3,1.0,0.06712962962962962,0.5625,0.47407407407407404,0.1,0.5
node_7,1,1,0,1,6,2,4,0.5,0.1111111111111111,0.6,0.3950617283950617,0.1,0.4230769230769231
node_8,1,1,0,1,6,2,4,0.5,0.2893518518518518,0.6,0.47407407407407404,0.1,0.39285714285714285
node_9,1,0,1,1,5,5,0,,0.0,0.0,0.6428571428571429,0.1,0.35
