,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,0,11,3,8,0.375,0.2175925925925926,0.9,0.5625,0.1,0.3490566037735849
node_1,1,0,0,1,4,3,1,3.0,0.013888888888888888,0.42857142857142855,0.47368421052631576,0.1,0.4166666666666667
node_2,1,1,0,1,8,4,4,1.0,0.05787037037037036,0.6,0.5,0.1,0.34615384615384615
node_3,1,1,0,1,8,4,4,1.0,0.16435185185185183,0.6428571428571429,0.5625,0.1,0.38461538461538464
node_4,1,0,0,1,5,4,1,4.0,0.006944444444444444,0.34615384615384615,0.6,0.1,0.55
node_5,1,1,0,1,8,3,5,0.6,0.10416666666666666,0.6923076923076923,0.5294117647058824,0.1,0.34615384615384615
node_6,1,1,0,1,7,2,5,0.4,0.020833333333333332,0.6923076923076923,0.42857142857142855,0.1,0.375
node_7,1,1,0,1,8,4,4,1.0,0.2824074074074074,0.6428571428571429,0.6428571428571429,0.1,0.40384615384615385
node_8,1,1,0,1,7,5,2,2.5,0.15046296296296297,0.47368421052631576,0.6923076923076923,0.1,0.425
node_9,1,0,0,1,4,3,1,3.0,0.037037037037037035,0.42857142857142855,0.5294117647058824,0.1,0.5
