,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,4,2,2,1.0,0.04629629629629629,0.362962962962963,0.3888888888888889,0.1,0.3333333333333333
node_1,1,0,0,1,3,3,0,,0.0,0.0,0.5079365079365079,0.1,0.16666666666666666
node_2,1,1,0,1,4,2,2,1.0,0.09027777777777778,0.4537037037037037,0.362962962962963,0.1,0.2
node_3,1,0,1,1,5,2,3,0.6666666666666666,0.07175925925925924,0.4537037037037037,0.3888888888888889,0.1,0.1
node_4,1,1,0,1,8,2,6,0.3333333333333333,0.25,0.6805555555555556,0.3888888888888889,0.1,0.09615384615384616
node_5,1,0,1,1,5,3,2,1.5,0.07175925925925926,0.3402777777777778,0.4537037037037037,0.1,0.05
node_6,1,1,0,1,4,3,1,3.0,0.125,0.3888888888888889,0.4537037037037037,0.1,0.1
node_7,1,0,1,0,3,3,0,,0.0,0.0,0.47407407407407404,0.1,0.16666666666666666
node_8,1,1,0,0,5,1,4,0.25,0.04629629629629629,0.5625,0.1111111111111111,0.1,0.05555555555555555
node_9,0,1,0,1,3,1,2,0.5,0.020833333333333332,0.47368421052631576,0.1111111111111111,0.1,0.0
