,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,6,4,2,2.0,0.2361111111111111,0.47368421052631576,0.6428571428571429,0.1,0.2857142857142857
node_1,1,0,1,1,6,4,2,2.0,0.12152777777777778,0.45,0.6428571428571429,0.1,0.3333333333333333
node_2,1,0,1,1,7,4,3,1.3333333333333333,0.18865740740740738,0.5,0.5625,0.1,0.23809523809523808
node_3,1,0,0,1,4,2,2,1.0,0.004629629629629629,0.391304347826087,0.42857142857142855,0.1,0.4166666666666667
node_4,1,1,1,1,6,4,2,2.0,0.18402777777777776,0.5294117647058824,0.6428571428571429,0.1,0.39285714285714285
node_5,1,1,0,1,8,1,7,0.14285714285714285,0.14583333333333331,0.8181818181818182,0.4090909090909091,0.1,0.2777777777777778
node_6,1,1,0,1,6,2,4,0.5,0.14930555555555555,0.6,0.45,0.1,0.2857142857142857
node_7,1,1,0,1,5,2,3,0.6666666666666666,0.06944444444444445,0.47368421052631576,0.45,0.1,0.2777777777777778
node_8,1,1,0,1,7,5,2,2.5,0.1435185185185185,0.45,0.6428571428571429,0.1,0.2
node_9,1,0,0,1,3,1,2,0.5,0.020833333333333332,0.47368421052631576,0.34615384615384615,0.1,0.16666666666666666
