,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,6,4,2,2.0,0.09953703703703702,0.5625,0.5079365079365079,0.1,0.38461538461538464
node_1,1,0,1,1,6,1,5,0.2,0.02546296296296296,0.6,0.3232323232323232,0.1,0.4
node_2,1,0,1,0,2,2,0,,0.0,0.0,0.47368421052631576,0.1,0.5
node_3,1,1,1,1,5,3,2,1.5,0.07407407407407407,0.5,0.5079365079365079,0.1,0.3888888888888889
node_4,1,1,1,0,9,4,5,0.8,0.3518518518518518,0.6923076923076923,0.5925925925925926,0.1,0.2727272727272727
node_5,1,0,0,1,4,2,2,1.0,0.0324074074074074,0.45,0.4444444444444444,0.1,0.25
node_6,1,0,0,1,4,3,1,3.0,0.020833333333333332,0.36,0.47407407407407404,0.1,0.3333333333333333
node_7,1,1,0,1,8,2,6,0.3333333333333333,0.26620370370370366,0.75,0.4444444444444444,0.1,0.2962962962962963
node_8,1,1,1,1,7,5,2,2.5,0.22685185185185186,0.47368421052631576,0.6464646464646464,0.1,0.325
node_9,1,0,0,1,3,1,2,0.5,0.0,0.4090909090909091,0.3386243386243386,0.1,0.5
