,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,6,4,2,2.0,0.2986111111111111,0.4090909090909091,0.5470085470085471,0.1,0.38461538461538464
node_1,1,1,0,1,6,4,2,2.0,0.25,0.34615384615384615,0.5079365079365079,0.1,0.3076923076923077
node_2,1,1,0,0,6,2,4,0.5,0.3194444444444444,0.5294117647058824,0.4183006535947712,0.1,0.46153846153846156
node_3,1,1,0,1,5,2,3,0.6666666666666666,0.13194444444444445,0.42857142857142855,0.3950617283950617,0.1,0.5555555555555556
node_4,1,1,0,1,5,3,2,1.5,0.3680555555555555,0.5,0.4183006535947712,0.1,0.2222222222222222
node_5,1,0,0,1,3,1,2,0.5,0.027777777777777776,0.4090909090909091,0.23703703703703702,0.1,0.3333333333333333
node_6,1,1,0,0,4,1,3,0.3333333333333333,0.20833333333333331,0.47368421052631576,0.2962962962962963,0.1,0.2
node_7,0,0,0,0,2,1,1,1.0,0.034722222222222224,0.3333333333333333,0.25396825396825395,0.1,0.0
node_8,0,1,0,0,3,1,2,0.5,0.06944444444444445,0.28125,0.3386243386243386,0.1,0.0
node_9,0,0,0,0,2,2,0,,0.0,0.0,0.4090909090909091,0.1,0.0
