,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14591280173063415,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.2349992619704258,0.5
node_2,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06356596179603864,0.5
node_3,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,-0.06045382225872205,0.5
node_4,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.19023142897813214,0.5
node_5,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06356596179603864,0.5
node_6,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.06339224158137997,0.5
node_7,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.17165424081399572,0.5
node_8,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06356596179603864,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.06356596179603864,0.0
