,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1400369939471241,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.15784534440313117,0.5
node_2,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05744334200209977,0.5
node_3,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.07558449401149654,0.5
node_4,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1523772195324929,0.5
node_5,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05744334200209977,0.5
node_6,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.09490346392331123,0.5
node_7,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05744334200209977,0.5
node_8,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14947911617404536,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.05744334200209977,0.0
