,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,8,5,3,1.6666666666666667,0.2616071428571428,0.6,0.6923076923076923,0.1,0.2962962962962963
node_1,1,1,0,1,7,2,5,0.4,0.06994047619047618,0.6923076923076923,0.5,0.1,0.3157894736842105
node_2,1,1,1,1,7,4,3,1.3333333333333333,0.059193121693121686,0.5294117647058824,0.6,0.1,0.325
node_3,1,1,0,0,9,3,6,0.5,0.17013888888888887,0.6923076923076923,0.5625,0.1,0.35294117647058826
node_4,1,0,1,1,6,5,1,5.0,0.03171296296296296,0.4090909090909091,0.6923076923076923,0.1,0.4666666666666667
node_5,1,0,0,1,5,3,2,1.5,0.038657407407407404,0.5294117647058824,0.5625,0.1,0.45
node_6,1,1,1,1,7,3,4,0.75,0.04609788359788359,0.6428571428571429,0.5625,0.1,0.39473684210526316
node_7,1,1,0,1,8,4,4,1.0,0.078505291005291,0.6428571428571429,0.5625,0.1,0.28846153846153844
node_8,1,1,0,1,6,3,3,1.0,0.06412037037037036,0.5625,0.5625,0.1,0.34615384615384615
node_9,1,0,1,1,7,3,4,0.75,0.0828042328042328,0.6428571428571429,0.5625,0.1,0.3333333333333333
