,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,4,3,1,3.0,0.0,0.14814814814814814,0.5625,0.1,0.7
node_1,1,1,1,1,8,6,2,3.0,0.125,0.2222222222222222,0.75,0.1,0.19230769230769232
node_2,1,0,1,1,3,1,2,0.5,0.041666666666666664,0.4090909090909091,0.18518518518518517,0.1,0.16666666666666666
node_3,0,0,0,1,2,1,1,1.0,0.1388888888888889,0.36,0.2136752136752137,0.1,0.0
node_4,1,0,1,1,4,1,3,0.3333333333333333,0.16666666666666666,0.5,0.18518518518518517,0.1,0.25
node_5,1,0,0,1,3,1,2,0.5,0.19444444444444442,0.45,0.19841269841269843,0.1,0.16666666666666666
node_6,1,0,1,1,4,2,2,1.0,0.14583333333333331,0.4090909090909091,0.25252525252525254,0.1,0.16666666666666666
node_7,1,1,1,1,4,2,2,1.0,0.0,0.2222222222222222,0.5294117647058824,0.1,0.7
node_8,1,0,1,1,5,2,3,0.6666666666666666,0.07638888888888888,0.3333333333333333,0.3076923076923077,0.1,0.25
node_9,0,0,0,1,3,1,2,0.5,0.15277777777777776,0.42857142857142855,0.2314814814814815,0.1,0.0
