,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,1,5,5,0,,0.0,0.0,0.6923076923076923,0.1,0.2
node_1,0,1,0,0,3,2,1,2.0,0.05555555555555555,0.4090909090909091,0.3888888888888889,0.1,0.0
node_2,1,1,0,1,8,3,5,0.6,0.5069444444444444,0.6428571428571429,0.4537037037037037,0.1,0.057692307692307696
node_3,1,0,1,1,4,1,3,0.3333333333333333,0.2222222222222222,0.5,0.3202614379084967,0.1,0.25
node_4,0,1,0,0,2,1,1,1.0,0.0,0.4090909090909091,0.30246913580246915,0.1,0.0
node_5,0,1,0,1,4,1,3,0.3333333333333333,0.10416666666666666,0.5,0.23671497584541065,0.1,0.0
node_6,0,1,1,1,4,2,2,1.0,0.10185185185185185,0.375,0.3202614379084967,0.1,0.0
node_7,1,1,1,1,4,2,2,1.0,0.004629629629629629,0.36,0.362962962962963,0.1,0.4
node_8,1,1,1,1,6,3,3,1.0,0.24074074074074076,0.5,0.4188034188034188,0.1,0.21428571428571427
node_9,1,0,0,1,2,1,1,1.0,0.0,0.1111111111111111,0.35555555555555557,0.1,0.5
