,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.09836881851922623,0.5
node_1,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06096342443851316,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.15899126754050902,0.5
node_3,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1606113556585844,0.5
node_4,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.08756825522484205,0.5
node_5,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06096342443851316,0.5
node_6,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06096342443851316,0.5
node_7,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16018306139865476,0.5
node_8,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.09042354390413111,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.06096342443851316,0.0
