,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.20147090449403723,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10885825386347799,0
node_2,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.018730789946030835,0
node_3,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.08547002584822702,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.07645188280492705,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1292362536178365,0
node_6,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547002584822702,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10657815730047772,0
node_8,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1022636804285318,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.08547002584822702,0
