,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,8,5,3,1.6666666666666667,0.21064814814814814,0.5294117647058824,0.6923076923076923,0.1,0.18518518518518517
node_1,1,1,0,1,7,3,4,0.75,0.1597222222222222,0.6,0.5294117647058824,0.1,0.3
node_2,1,1,0,1,4,3,1,3.0,0.003472222222222222,0.36,0.5625,0.1,0.2
node_3,1,1,0,1,4,2,2,1.0,0.010416666666666666,0.5,0.45,0.1,0.3
node_4,1,1,0,1,8,3,5,0.6,0.21412037037037038,0.6428571428571429,0.5294117647058824,0.1,0.1346153846153846
node_5,1,0,0,1,4,2,2,1.0,0.0625,0.47368421052631576,0.45,0.1,0.4166666666666667
node_6,1,1,1,1,7,3,4,0.75,0.16782407407407404,0.6428571428571429,0.47368421052631576,0.1,0.275
node_7,1,0,1,1,4,1,3,0.3333333333333333,0.003472222222222222,0.5294117647058824,0.375,0.1,0.4166666666666667
node_8,1,1,0,1,7,3,4,0.75,0.2951388888888889,0.6428571428571429,0.6,0.1,0.325
node_9,1,0,1,1,5,4,1,4.0,0.053240740740740734,0.4090909090909091,0.6428571428571429,0.1,0.2
