,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,1,0,0,2,1,1,1.0,0.0,0.42857142857142855,0.391304347826087,0.1,0.0
node_1,1,1,0,1,9,4,5,0.8,0.29166666666666663,0.6923076923076923,0.6,0.1,0.25757575757575757
node_2,1,1,0,1,7,4,3,1.3333333333333333,0.11805555555555555,0.6,0.5625,0.1,0.375
node_3,1,1,0,0,8,5,3,1.6666666666666667,0.1875,0.5625,0.6428571428571429,0.1,0.3
node_4,1,1,0,0,6,4,2,2.0,0.034722222222222224,0.45,0.6,0.1,0.3076923076923077
node_5,1,1,0,1,5,1,4,0.25,0.0162037037037037,0.6,0.4090909090909091,0.1,0.2222222222222222
node_6,1,1,0,0,6,2,4,0.5,0.037037037037037035,0.6428571428571429,0.45,0.1,0.38461538461538464
node_7,1,1,0,1,5,3,2,1.5,0.13194444444444445,0.47368421052631576,0.5625,0.1,0.375
node_8,1,1,0,0,9,3,6,0.5,0.27314814814814814,0.75,0.6,0.1,0.2727272727272727
node_9,1,0,0,1,5,4,1,4.0,0.034722222222222224,0.34615384615384615,0.6,0.1,0.3
