,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,7,4,3,1.3333333333333333,0.10185185185185186,0.5294117647058824,0.5470085470085471,0.1,0.2894736842105263
node_1,1,1,1,1,5,3,2,1.5,0.041666666666666664,0.5,0.5079365079365079,0.1,0.2777777777777778
node_2,1,0,1,1,2,2,0,,0.0,0.0,0.391304347826087,0.1,0.5
node_3,1,1,1,1,6,3,3,1.0,0.17824074074074073,0.5294117647058824,0.47407407407407404,0.1,0.21428571428571427
node_4,1,0,1,1,6,1,5,0.2,0.1388888888888889,0.6923076923076923,0.3950617283950617,0.1,0.26666666666666666
node_5,1,0,0,1,5,3,2,1.5,0.05787037037037037,0.4090909090909091,0.5079365079365079,0.1,0.5
node_6,1,1,0,1,5,2,3,0.6666666666666666,0.034722222222222224,0.42857142857142855,0.4183006535947712,0.1,0.3333333333333333
node_7,1,0,0,1,5,3,2,1.5,0.12268518518518519,0.5,0.5470085470085471,0.1,0.45
node_8,1,0,1,1,2,1,1,1.0,0.0,0.391304347826087,0.30917874396135264,0.1,0.5
node_9,1,1,0,1,9,4,5,0.8,0.44907407407407396,0.6923076923076923,0.5925925925925926,0.1,0.22727272727272727
