,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,4,0,4,0.0,0.0,0.5294117647058824,0.0,0.1,0.25
node_1,0,0,1,1,2,2,0,,0.0,0.0,0.4183006535947712,0.1,0.0
node_2,1,0,1,1,5,5,0,,0.0,0.0,0.6049382716049383,0.1,0.25
node_3,1,0,1,1,6,2,4,0.5,0.11805555555555555,0.494949494949495,0.2222222222222222,0.1,0.23333333333333334
node_4,1,0,1,1,4,1,3,0.3333333333333333,0.006944444444444444,0.4444444444444444,0.1111111111111111,0.1,0.3333333333333333
node_5,1,0,1,1,4,2,2,1.0,0.013888888888888888,0.25,0.3636363636363636,0.1,0.25
node_6,1,0,1,1,5,4,1,4.0,0.08333333333333333,0.1111111111111111,0.494949494949495,0.1,0.15
node_7,1,0,0,1,3,1,2,0.5,0.08333333333333333,0.2962962962962963,0.19841269841269843,0.1,0.16666666666666666
node_8,0,1,0,1,3,1,2,0.5,0.09722222222222221,0.3636363636363636,0.19753086419753085,0.1,0.0
node_9,1,1,1,0,4,2,2,1.0,0.09722222222222221,0.2857142857142857,0.2962962962962963,0.1,0.1
