,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.06317354020675703,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11982904594416706,0
node_2,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547002584822701,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.14793242517848476,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.08359496282236419,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10986978947461246,0
node_6,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547002584822701,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.09668359938558645,0
node_8,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11044637009619818,0
node_9,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.09753021519537593,0
