,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,6,3,3,1.0,0.13425925925925927,0.47368421052631576,0.5,0.7238045535216552,0.11538461538461539
node_1,1,0,0,1,5,3,2,1.5,0.13425925925925924,0.42857142857142855,0.5294117647058824,0.034145771074947776,0.2
node_2,0,0,0,1,3,2,1,2.0,0.032407407407407406,0.3333333333333333,0.47368421052631576,0.038168933276395485,0.0
node_3,1,1,0,1,6,3,3,1.0,0.09259259259259257,0.47368421052631576,0.5294117647058824,0.2833123434797067,0.15384615384615385
node_4,1,1,0,1,5,2,3,0.6666666666666666,0.02546296296296296,0.5294117647058824,0.391304347826087,-0.007409567869806108,0.4444444444444444
node_5,1,1,0,0,8,5,3,1.6666666666666667,0.2708333333333333,0.5294117647058824,0.6428571428571429,-0.2690202896728376,0.18
node_6,1,1,0,1,8,1,7,0.14285714285714285,0.1759259259259259,0.8181818181818182,0.3333333333333333,0.025199532251295065,0.2777777777777778
node_7,0,1,0,1,5,3,2,1.5,0.16666666666666666,0.42857142857142855,0.5625,0.212274427327216,0.0
node_8,1,1,0,0,4,3,1,3.0,0.1759259259259259,0.47368421052631576,0.47368421052631576,0.011998994331727436,0.4
node_9,1,1,0,0,6,3,3,1.0,0.15277777777777776,0.5294117647058824,0.5,-0.052474697720299834,0.38461538461538464
