,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,5,3,2,1.5,0.04513888888888889,0.5294117647058824,0.5294117647058824,0.1,0.3333333333333333
node_1,1,1,1,1,7,5,2,2.5,0.1412037037037037,0.45,0.6923076923076923,0.1,0.35
node_2,1,1,1,1,9,5,4,1.25,0.26273148148148145,0.6,0.6923076923076923,0.1,0.2727272727272727
node_3,1,1,0,1,8,4,4,1.0,0.27314814814814803,0.6,0.6,0.1,0.34615384615384615
node_4,1,0,1,1,8,2,6,0.3333333333333333,0.16435185185185183,0.75,0.45,0.1,0.375
node_5,1,0,1,1,4,1,3,0.3333333333333333,0.018518518518518517,0.5294117647058824,0.34615384615384615,0.1,0.16666666666666666
node_6,1,1,1,0,8,5,3,1.6666666666666667,0.06597222222222222,0.5,0.6428571428571429,0.1,0.34615384615384615
node_7,1,1,0,1,5,1,4,0.25,0.039351851851851846,0.6,0.42857142857142855,0.1,0.5
node_8,1,1,1,1,7,4,3,1.3333333333333333,0.10300925925925924,0.5625,0.6428571428571429,0.1,0.5263157894736842
node_9,0,0,1,1,3,2,1,2.0,0.011574074074074072,0.34615384615384615,0.5,0.1,0.0
