,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,5,3,2,1.5,0.04629629629629629,0.45,0.5625,0.1,0.25
node_1,1,1,1,1,6,5,1,5.0,0.028240740740740736,0.32142857142857145,0.6923076923076923,0.1,0.21428571428571427
node_2,1,0,1,1,6,1,5,0.2,0.04212962962962963,0.6923076923076923,0.34615384615384615,0.1,0.26666666666666666
node_3,1,1,1,1,8,4,4,1.0,0.23379629629629628,0.6,0.6,0.1,0.35185185185185186
node_4,1,1,0,1,6,3,3,1.0,0.16990740740740742,0.45,0.6,0.1,0.21428571428571427
node_5,1,1,0,1,8,4,4,1.0,0.20462962962962963,0.6,0.6,0.1,0.25
node_6,1,1,1,1,5,3,2,1.5,0.14814814814814817,0.5,0.5625,0.1,0.2777777777777778
node_7,1,1,0,1,7,2,5,0.4,0.056018518518518516,0.6923076923076923,0.45,0.1,0.3684210526315789
node_8,1,1,1,1,7,4,3,1.3333333333333333,0.06805555555555556,0.6,0.5,0.1,0.325
node_9,1,1,0,1,6,3,3,1.0,0.15555555555555553,0.5625,0.47368421052631576,0.1,0.35714285714285715
