,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10127166382397414,0
node_1,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.08547009560580146,0
node_2,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11197113228513296,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11581701267929026,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.30831690714173704,0
node_5,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547009560580146,0
node_6,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,-0.07881873041199133,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.2916841452556029,0
node_8,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,-0.10665241759114971,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.08547009560580146,0
