,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.12737051161833107,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10751273821802734,0
node_2,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.09417669846718757,0
node_3,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.085470025848227,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.13856465205442703,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.07117363533212095,0
node_6,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.085470025848227,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.119321660916998,0
node_8,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.085470025848227,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.085470025848227,0
