,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,0,6,3,3,1.0,0.060185185185185175,0.5079365079365079,0.5294117647058824,0.1,0.42857142857142855
node_1,1,1,0,0,5,2,3,0.6666666666666666,0.020833333333333332,0.5079365079365079,0.45,0.1,0.5
node_2,1,1,0,1,8,5,3,1.6666666666666667,0.27314814814814814,0.5470085470085471,0.6923076923076923,0.1,0.25925925925925924
node_3,1,1,0,0,7,2,5,0.4,0.08101851851851852,0.6464646464646464,0.5,0.1,0.35
node_4,0,0,0,0,1,0,1,0.0,0.0,0.4090909090909091,0.0,0.1,0.0
node_5,1,1,1,1,7,4,3,1.3333333333333333,0.1875,0.5079365079365079,0.6428571428571429,0.1,0.35
node_6,1,0,0,1,4,3,1,3.0,0.013888888888888888,0.3742690058479532,0.5625,0.1,0.25
node_7,1,0,1,1,7,4,3,1.3333333333333333,0.11574074074074074,0.5470085470085471,0.6428571428571429,0.1,0.38095238095238093
node_8,1,1,1,0,7,4,3,1.3333333333333333,0.16666666666666666,0.5079365079365079,0.6428571428571429,0.1,0.2777777777777778
node_9,1,1,0,1,4,1,3,0.3333333333333333,0.011574074074074072,0.5079365079365079,0.4090909090909091,0.1,0.2
