,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.055595631205574286,0.5
node_1,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.13370548987890526,0.5
node_2,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.164954283738979,0.5
node_3,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.055595631205574286,0.5
node_4,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.07017747478910467,0.5
node_5,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14792145843936932,0.5
node_6,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.055595631205574286,0.5
node_7,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14037595036702621,0.5
node_8,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.1204828179643188,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.055595631205574286,0.0
