,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,0,1,4,2,2,1.0,0.05416666666666667,0.45,0.5,0.1,0.16666666666666666
node_1,1,1,0,1,6,2,4,0.5,0.1398148148148148,0.6428571428571429,0.42857142857142855,0.1,0.25
node_2,1,1,0,1,5,2,3,0.6666666666666666,0.0949074074074074,0.5294117647058824,0.42857142857142855,0.1,0.4444444444444444
node_3,1,1,0,1,6,4,2,2.0,0.15046296296296294,0.47368421052631576,0.6,0.1,0.3076923076923077
node_4,1,1,0,1,8,4,4,1.0,0.22129629629629627,0.6428571428571429,0.6428571428571429,0.1,0.28846153846153844
node_5,1,1,0,1,8,4,4,1.0,0.19768518518518519,0.5625,0.6,0.1,0.3076923076923077
node_6,1,1,0,1,4,3,1,3.0,0.027777777777777773,0.4090909090909091,0.5,0.1,0.2
node_7,1,1,0,1,7,3,4,0.75,0.1787037037037037,0.6428571428571429,0.5625,0.1,0.3157894736842105
node_8,1,0,0,1,2,1,1,1.0,0.0,0.375,0.4090909090909091,0.1,1.0
node_9,1,1,0,1,6,3,3,1.0,0.14351851851851852,0.5294117647058824,0.5294117647058824,0.1,0.42857142857142855
