,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.0642995497744851,0.5
node_1,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05849095473549534,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1570545022087863,0.5
node_3,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14969627251770626,0.5
node_4,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05849095473549534,0.5
node_5,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.11334745318894529,0.5
node_6,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05849095473549534,0.5
node_7,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.13522409247408468,0.5
node_8,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.14641431089401125,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.05849095473549534,0.0
