,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,1,1,7,4,3,1.3333333333333333,0.05555555555555555,0.3888888888888889,0.5625,0.1,0.34210526315789475
node_1,1,0,1,1,5,3,2,1.5,0.09722222222222221,0.4188034188034188,0.5294117647058824,0.1,0.4
node_2,1,1,1,1,6,4,2,2.0,0.05555555555555555,0.3402777777777778,0.6428571428571429,0.1,0.39285714285714285
node_3,1,0,1,1,5,4,1,4.0,0.09027777777777778,0.3402777777777778,0.5625,0.1,0.25
node_4,1,0,1,1,5,1,4,0.25,0.027777777777777776,0.5470085470085471,0.1111111111111111,0.1,0.25
node_5,1,0,1,1,6,2,4,0.5,0.11111111111111109,0.5444444444444444,0.4090909090909091,0.1,0.26666666666666666
node_6,1,0,1,1,3,0,3,0.0,0.0,0.5625,0.0,0.1,0.3333333333333333
node_7,0,0,0,1,2,1,1,1.0,0.041666666666666664,0.3402777777777778,0.42857142857142855,0.1,0.5
node_8,1,1,1,1,7,4,3,1.3333333333333333,0.1736111111111111,0.4188034188034188,0.6428571428571429,0.1,0.325
node_9,1,0,1,1,6,3,3,1.0,0.25,0.494949494949495,0.5294117647058824,0.1,0.2
