,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10470178496671052,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10452565593535862,0
node_2,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10323019472849404,0
node_3,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547002584822702,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10207233852120996,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11089507642408769,0
node_6,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11149117993687338,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.10667369194258502,0
node_8,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.08547002584822702,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.08547002584822702,0
