,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,7,3,4,0.75,0.1724537037037037,0.6428571428571429,0.5079365079365079,0.1,0.35
node_1,1,1,1,1,6,4,2,2.0,0.048611111111111105,0.5,0.5925925925925926,0.1,0.32142857142857145
node_2,1,1,0,1,6,3,3,1.0,0.06712962962962962,0.5625,0.5079365079365079,0.1,0.39285714285714285
node_3,1,1,0,1,9,4,5,0.8,0.15277777777777776,0.6428571428571429,0.5925925925925926,0.1,0.27941176470588236
node_4,1,1,1,0,7,4,3,1.3333333333333333,0.0775462962962963,0.5625,0.5470085470085471,0.1,0.47368421052631576
node_5,1,1,1,1,8,4,4,1.0,0.10648148148148147,0.6428571428571429,0.5470085470085471,0.1,0.36538461538461536
node_6,1,1,1,1,8,4,4,1.0,0.09375,0.6428571428571429,0.5925925925925926,0.1,0.4230769230769231
node_7,1,1,0,1,6,3,3,1.0,0.05787037037037037,0.47368421052631576,0.5470085470085471,0.1,0.35714285714285715
node_8,1,0,1,1,6,1,5,0.2,0.02893518518518518,0.6428571428571429,0.35555555555555557,0.1,0.36666666666666664
node_9,1,0,1,1,3,3,0,,0.0,0.0,0.5625,0.1,0.3333333333333333
