,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,1,0,1,7,3,4,0.75,0.07638888888888887,0.6,0.5,0.1,0.4
node_1,1,1,0,1,8,4,4,1.0,0.31134259259259256,0.6428571428571429,0.6428571428571429,0.1,0.35185185185185186
node_2,1,1,0,1,4,2,2,1.0,0.013888888888888888,0.45,0.47368421052631576,0.1,0.4
node_3,1,1,0,1,5,4,1,4.0,0.04398148148148147,0.4090909090909091,0.6,0.1,0.3333333333333333
node_4,1,1,0,1,7,2,5,0.4,0.19560185185185183,0.6428571428571429,0.5294117647058824,0.1,0.2894736842105263
node_5,1,0,0,1,3,1,2,0.5,0.0,0.5,0.3333333333333333,0.1,0.5
node_6,1,1,0,1,8,6,2,3.0,0.2777777777777778,0.5,0.75,0.1,0.3333333333333333
node_7,1,1,0,0,8,2,6,0.3333333333333333,0.14930555555555555,0.75,0.45,0.1,0.34615384615384615
node_8,1,0,0,1,5,4,1,4.0,0.020833333333333332,0.375,0.5625,0.1,0.35
node_9,1,1,0,1,7,3,4,0.75,0.09143518518518517,0.5,0.5294117647058824,0.1,0.225
