,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,1,1,6,3,3,1.0,0.20370370370370372,0.47368421052631576,0.5625,0.1,0.26666666666666666
node_1,1,0,1,1,6,3,3,1.0,0.10648148148148147,0.47368421052631576,0.5625,0.1,0.23333333333333334
node_2,1,0,1,1,4,3,1,3.0,0.16782407407407404,0.42857142857142855,0.5294117647058824,0.1,0.3333333333333333
node_3,1,0,1,1,5,2,3,0.6666666666666666,0.1597222222222222,0.5294117647058824,0.42857142857142855,0.1,0.1
node_4,1,0,1,1,4,3,1,3.0,0.05208333333333333,0.34615384615384615,0.5294117647058824,0.1,0.3333333333333333
node_5,1,0,1,1,4,1,3,0.3333333333333333,0.04629629629629629,0.5625,0.32142857142857145,0.1,0.16666666666666666
node_6,1,0,1,1,5,3,2,1.5,0.11342592592592592,0.391304347826087,0.5625,0.1,0.25
node_7,1,1,0,1,6,2,4,0.5,0.2638888888888889,0.6428571428571429,0.42857142857142855,0.1,0.14285714285714285
node_8,0,1,1,1,4,2,2,1.0,0.1423611111111111,0.5294117647058824,0.42857142857142855,0.1,0.1
node_9,1,0,0,1,4,2,2,1.0,0.14699074074074073,0.47368421052631576,0.5,0.1,0.16666666666666666
