,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.05928763211913618,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.18754550839571482,0
node_2,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.08547009560580145,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.15485567286593954,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.012841091013408239,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1143699078985185,0
node_6,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.07337421825335103,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1413156826365278,0
node_8,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.08547009560580145,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.08547009560580145,0
